playerid,total_spent_usd
458764,4048.18
458950,4147.0599999999995
459006,3187.14
459436,24743.8
459656,1429.3
459749,13777.8
459781,12569.66
459894,17832.67
459930,599.7199999999999
460375,1126.26
460411,16646.62
460418,7551.28
460504,7650.74
460553,7520.46
460584,18949.02
460627,1396.36
460641,1623.22
460681,439.76
460712,2882.52
460717,6427.48
460723,27358.34
460763,2749.38
460805,4844.5599999999995
460814,2051.04
460837,613.6
460851,1429.26
460974,32135.22
460992,2957.42
460998,5152.66
461051,10204.74
461052,16676.0
461077,14600.53
461083,5916.38
461097,10560.59
461103,6133.96
461109,2101.7599999999998
461125,31059.98
461126,2886.44
461127,1073.44
461138,19062.54
461150,2602.86
461158,14152.98
461194,4241.08
461206,951.4799999999999
461220,547.68
461242,17035.71
461259,18308.64
461263,15329.859999999999
461280,19475.77
461294,5102.0
461295,467.82
461309,8981.9
461319,1215.34
461325,933.54
461352,2502.74
461364,10835.56
461370,8443.68
461389,467.71999999999997
461393,1713.02
461436,947.5
461452,6535.96
461507,3050.6
461515,7376.04
461518,5349.349999999999
461541,1154.5
461565,14392.7
461568,3778.2999999999997
461581,16103.8
461589,2526.82
461600,599.74
461627,1097.34
461651,5718.7
461654,7879.099999999999
461660,10432.86
461667,3781.67
461694,219.82
461713,2872.36
461760,3581.15
461791,6999.88
461795,3048.48
461799,2808.66
461802,2244.66
461867,4900.94
461905,2342.9
461967,2340.74
462021,1677.1799999999998
462034,6819.5
462099,1063.5
462133,6149.76
462139,5120.639999999999
462145,8288.58
462180,1050.46
462197,7452.2
462222,2823.54
462280,2209.8
462312,6295.3
462313,20856.53
462338,2636.7
462360,601.74
462369,1019.56
462373,3637.08
462384,5301.4
462393,9740.199999999999
462440,2439.64
462455,1763.3
462471,537.68
462510,5836.3
462527,8322.47
462542,3230.4
462567,4529.05
462571,1517.4
462577,1806.0
462601,1749.08
462609,3170.64
462616,1941.22
462709,1043.5
462714,1859.9199999999998
462724,2537.02
462760,5871.849999999999
462783,5025.88
463239,10881.74
463302,5675.0
463367,2738.72
463521,19790.7
463793,1263.42
464078,2779.06
464183,14795.52
464605,20295.64
464658,8206.789999999999
464857,363.82
464863,943.48
465017,1677.16
